Name,Rating,Reviews,Category,Address,Phone,Email,Website,Hours,Google Maps URL
Architectus,4.9,27,Architect,"R. Canuto de Aguiar, 1401 - Meireles, Fortaleza - CE, 60160-120, Brazil",+55 85 3456-5000,,http://www.architectus.com.br/,Show open hours for the week,"https://www.google.com/maps/place/Architectus/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c7487eaaf55347:0x19a20bea514de971!8m2!3d-3.7322993!4d-38.4900925!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11cn93f0rv?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
bauh arquitetos,5.0,138,Architect,"Torre 1 - Av. Dom Luís, 1200 - SALA 2001 - Meireles, Fortaleza - CE, 60160-230, Brazil",+55 85 99142-0230,,http://www.bauharquitetos.com.br/,Show open hours for the week,"https://www.google.com/maps/place/bauh+arquitetos/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c7498402c6c573:0xb8197015e0152ec6!8m2!3d-3.7362457!4d-38.4901689!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlsWh0iG2FyY2hpdGVjdHMgaW4gY2VhcsOhIGJyYXppbJIBCWFyY2hpdGVjdOABAA!16s%2Fg%2F11fwgm77vb?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
RMVG | Arquitetos,5.0,28,Architect,"Casa Shopping - Avenida Washington Soares, 909 Salinas, Loja 107 - Edson Queiroz, Fortaleza - CE, 60811-341, Brazil",+55 85 98691-6093,,https://www.rmvgarquitetos.com/,Show open hours for the week,"https://www.google.com/maps/place/RMVG+%7C+Arquitetos/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c747d36d33d02b:0x977f13b862ccd090!8m2!3d-3.7620167!4d-38.4819927!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11y46qt_44?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Dome Arquitetura,5.0,29,Architect,"R. Maria Tomásia, 900 - 01 - Aldeota, Fortaleza - CE, 60150-170, Brazil",+55 85 98754-1193,,http://domearquitetura.com.br/,Show open hours for the week,"https://www.google.com/maps/place/Dome+Arquitetura/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c748879418489b:0x150ea198b485859d!8m2!3d-3.7368476!4d-38.4938516!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlsWh0iG2FyY2hpdGVjdHMgaW4gY2VhcsOhIGJyYXppbJIBCWFyY2hpdGVjdOABAA!16s%2Fg%2F11cmq_sybc?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Project Arquitetura,5.0,23,Architect,"Torre Sul - Av. Des. Moreira, 1300 - Sala 719 - Aldeota, Fortaleza - CE, 60170-002, Brazil",+55 85 98132-4643,,https://www.projectarquitetos.com.br/,Show open hours for the week,"https://www.google.com/maps/place/Project+Arquitetura/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c74924ebe65ddf:0xca2828036b9a9c79!8m2!3d-3.7374636!4d-38.4993171!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlsWh0iG2FyY2hpdGVjdHMgaW4gY2VhcsOhIGJyYXppbJIBCWFyY2hpdGVjdOABAA!16s%2Fg%2F11g2_mhzgb?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Luiz Deusdara Building Workshop,4.9,50,Architect,"R. José Vilar, 475 - Meireles, Fortaleza - CE, 60125-000, Brazil",+55 85 3244-6011,,http://www.ldbw.com.br/,Show open hours for the week,"https://www.google.com/maps/place/Luiz+Deusdara+Building+Workshop/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c74866f7eabebf:0x49556ccecce9f16!8m2!3d-3.7295239!4d-38.5025061!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgERYXJjaGl0ZWN0dXJlX2Zpcm3gAQA!16s%2Fg%2F1pt_0rfr4?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Rede Arquitetos,4.9,14,Architect,"Torre Corporate, R. Marcos Macêdo, 1333 - Sala 1816 - Aldeota, Fortaleza - CE, 60150-190, Brazil",+55 85 3215-4564,,http://www.redearquitetos.com/,Show open hours for the week,"https://www.google.com/maps/place/Rede+Arquitetos/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c74887522cdfb3:0x6ad281722c6fa661!8m2!3d-3.7364887!4d-38.4905187!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F119t_3mxm?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Trino Arquitetura,5.0,11,Architect,"R. Júlio Siqueira, 1008 - Sala 15 - Dionísio Torres, Fortaleza - CE, 60130-090, Brazil",+55 85 99612-6868,,https://www.instagram.com/trinoarquitetura/,Show open hours for the week,"https://www.google.com/maps/place/Trino+Arquitetura/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c7488c8254ebe7:0xc7500cd212a368a4!8m2!3d-3.7511969!4d-38.50466!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F1ptxqtdyl?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Bossa Arquitetura,5.0,3,Architect,"R. Pereira Valente, 578 - Sala 301 Sala 301 - Meireles, Fortaleza - CE, 60160-250, Brazil",+55 85 99400-2492,,http://www.bossaarquitetura.com/,Show open hours for the week,"https://www.google.com/maps/place/Bossa+Arquitetura/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c749ab4d1b44af:0x9215659a00968785!8m2!3d-3.7326638!4d-38.4968358!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlskgEJYXJjaGl0ZWN04AEA!16s%2Fg%2F11jvq792ym?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Arthur Meneses arquitetura + interiores,5.0,2,Architect,"R. Marcondes Pereira, 1045 - Dionísio Torres, Fortaleza - CE, 60135-222, Brazil",+55 85 99656-5692,,https://www.instagram.com/arthurmenesesarquitetura/,Show open hours for the week,"https://www.google.com/maps/place/Arthur+Meneses+arquitetura+%2B+interiores/@-3.8070652,-38.5810688,12z/data=!4m10!1m2!2m1!1sarchitects+in+Cear%C3%A1,+Brazil!3m6!1s0x7c7498532060d51:0xb61c0d50626650e5!8m2!3d-3.7490813!4d-38.5071847!15sChxhcmNoaXRlY3RzIGluIENlYXLDoSwgQnJhemlsWh0iG2FyY2hpdGVjdHMgaW4gY2VhcsOhIGJyYXppbJIBCWFyY2hpdGVjdOABAA!16s%2Fg%2F11p02frs81?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
