Name,Rating,Reviews,Category,Address,Phone,Email,Website,Hours,Google Maps URL
Pousada Kanaloa | Jericoacoara Beach,4.6,528,4-star hotel,"R. do Forró, s/número, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99768-0888,,http://www.kanaloapousada.com.br/,,"https://www.google.com/maps/place/Pousada+Kanaloa+%7C+Jericoacoara+Beach/@-2.7957941,-40.5185377,17z/data=!4m14!1m3!2m2!1spousadas+in+jericoacoara!6e4!3m9!1s0x7e986884fb54d7b:0xd92480cb26b92061!5m2!4m1!1i2!8m2!3d-2.794905!4d-40.514563!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQ5pbmRvb3JfbG9kZ2luZ-ABAA!16s%2Fg%2F1pv2l31w9?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Jeribá,4.7,338,5-star hotel,5-star hotel,,,,,https://www.google.com/maps/place/Pousada+Jerib%C3%A1/data=!4m10!3m9!1s0x7e986858fa3c523:0x6b4b3f111f9a468e!5m2!4m1!1i2!8m2!3d-2.7935738!4d-40.519855!16s%2Fg%2F1td2bk6r!19sChIJI8Wjj4WG6QcRjkaaHxE_S2s?authuser=0&hl=en&rclk=1
Pousada Jeri,4.9,408,2-star hotel,"R. Angela Marques, 55 - Centro, Jijoca de Jericoacoara - CE, 62598-000, Brazil",,,,,"https://www.google.com/maps/place/Pousada+Jeri/@-2.7957941,-40.5185377,17z/data=!4m10!1m2!2m1!1spousadas+in+jericoacoara!3m6!1s0x7e98689f6f0b31b:0x69e761cc71d4146f!8m2!3d-2.7974598!4d-40.5137178!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAZIBA2lubuABAA!16s%2Fg%2F11dzt3bx8p?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Angélica,4.6,730,2-star hotel,"R. da Escola, s/n, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 85 99720-4040,,http://www.pousadaangelica.com.br/,,"https://www.google.com/maps/place/Pousada+Ang%C3%A9lica/@-2.7957941,-40.5185377,17z/data=!4m13!1m2!2m1!1spousadas+in+jericoacoara!3m9!1s0x7e986626d8a3ef7:0x9ad9aeabc0d0e223!5m2!4m1!1i2!8m2!3d-2.796662!4d-40.5120705!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQNpbm7gAQA!16s%2Fg%2F11c2pk89xn?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Jeri Dunas,4.8,474,4-star hotel,"R. São Francisco, S/n - Centro, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99768-0020,,http://www.pousadajeridunas.com/,,"https://www.google.com/maps/place/Pousada+Jeri+Dunas/@-2.7957941,-40.5185377,17z/data=!4m13!1m2!2m1!1spousadas+in+jericoacoara!3m9!1s0x7e98689d6bbb941:0x19173086c49681af!5m2!4m1!1i2!8m2!3d-2.795839!4d-40.5126956!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSARFiZWRfYW5kX2JyZWFrZmFzdOABAA!16s%2Fg%2F11gff_54mw?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Carcará,4.8,588,2-star hotel,"R. do Forró, 530, Jijoca de Jericoacoara - CE, 62598-973, Brazil",+55 88 99773-0513,,https://www.pousadacarcara.com/,,"https://www.google.com/maps/place/Pousada+Carcar%C3%A1/@-2.7957941,-40.5185377,17z/data=!4m13!1m2!2m1!1spousadas+in+jericoacoara!3m9!1s0x7e98688f86663c3:0xfb3cec36cbcc37c5!5m2!4m1!1i2!8m2!3d-2.7948251!4d-40.5154457!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQVob3RlbOABAA!16s%2Fg%2F11b72fx79c?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Ponta da Pedra,4.5,336,3-star hotel,"Rua da Praia, S/N - Centro, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99697-0880,,http://www.pontadapedra.com/,,"https://www.google.com/maps/place/Pousada+Ponta+da+Pedra/@-2.7957941,-40.5185377,17z/data=!4m10!1m2!2m1!1spousadas+in+jericoacoara!3m6!1s0x7e9868f6df62b39:0xe201943f51bb37a1!8m2!3d-2.7941974!4d-40.5193613!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQNpbm7gAQA!16s%2Fg%2F11b6_cny7l?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Chez Toi,4.7,219,,"Av Rua Vereador Edvá Esmerino - da Silva, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99803-5599,,http://pousadacheztoi.com.br/,,"https://www.google.com/maps/place/Pousada+Chez+Toi/@-2.7957941,-40.5185377,17z/data=!4m10!1m2!2m1!1spousadas+in+jericoacoara!3m6!1s0x7ea2615d8662091:0x64f20c215b895b36!8m2!3d-2.7966936!4d-40.5176021!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAZIBA2lubuABAA!16s%2Fg%2F11j03wq6qx?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Villa Caju Pousada Jericoacoara,4.6,773,Hotel,"R. São Francisco, 147 - Santo Antônio, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 99671-3553,,http://villacaju.com.br/,,"https://www.google.com/maps/place/Villa+Caju+Pousada+Jericoacoara/@-2.7957941,-40.5185377,17z/data=!4m10!1m2!2m1!1spousadas+in+jericoacoara!3m6!1s0x7e98689bb530d2f:0x56fabbb6710414b1!8m2!3d-2.7964666!4d-40.5147974!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSAQNpbm7gAQA!16s%2Fg%2F11cjp8mcdl?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
Pousada Atlantis,4.6,310,2-star hotel,"R. Angela Marques, s/n - Beach, Jijoca de Jericoacoara - CE, 62598-000, Brazil",+55 88 98111-0819,,http://www.jericoacoara-atlantis.com/,,"https://www.google.com/maps/place/Pousada+Atlantis/@-2.7957941,-40.5185377,17z/data=!4m10!1m2!2m1!1spousadas+in+jericoacoara!3m6!1s0x7e9868bc56168f5:0x47f9017794f2fc22!8m2!3d-2.7980145!4d-40.5159645!15sChhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmEiA4gBAVoaIhhwb3VzYWRhcyBpbiBqZXJpY29hY29hcmGSARFiZWRfYW5kX2JyZWFrZmFzdOABAA!16s%2Fg%2F11b6_t8qt0?entry=ttu&g_ep=EgoyMDI2MDEyMS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D"
